outcome,unweighted_n,unweighted_cases,weighted_percent,ci_low,ci_high
HbA1c-defined undiagnosed diabetes,4004,150,2.1696726369230497,1.7408337968696235,2.7012479190438934
HbA1c-defined prediabetes,4004,1254,24.75974867779032,22.627043947835652,27.023263507642003
