step,n
NHANES 2017-2018 interview participants,9254
Adults aged >=20 years,5569
Adults with diabetes questionnaire,5569
Self-reported no diabetes,4517
Self-reported no diabetes and HbA1c available,4051
After excluding pregnant participants,4004
