gbd_release,version_id,cause,location,sex,count_age,rate_age,deaths_1990,deaths_1990_lower,deaths_1990_upper,deaths_2023,deaths_2023_lower,deaths_2023_upper,deaths_percent_change_1990_2023,dalys_1990,dalys_1990_lower,dalys_1990_upper,dalys_2023,dalys_2023_lower,dalys_2023_upper,dalys_percent_change_1990_2023,death_rate_1990,death_rate_1990_lower,death_rate_1990_upper,death_rate_2023,death_rate_2023_lower,death_rate_2023_upper,death_rate_percent_change_1990_2023,daly_rate_1990,daly_rate_1990_lower,daly_rate_1990_upper,daly_rate_2023,daly_rate_2023_lower,daly_rate_2023_upper,daly_rate_percent_change_1990_2023,interpretation_boundary
GBD 2023,8352,Cardiovascular diseases,China,Both,All ages,Age-standardized,3303961.86,2797927.14,3795995.79,4501842.59,3855077.51,5013029.84,36.26,81454987.01,68389231.42,94748209.77,89327031.66,78881688.75,97824746.45,9.66,496.65,420.03,571.17,208.03,178.08,233.08,-58.11,10065.67,8607.08,11541.62,4059.34,3593.00,4444.04,-59.67,"Disease-specific descriptive GBD burden analysis only. Counts and age-standardized rates must remain separate, uncertainty intervals must be retained, and no causal, clinical, mechanistic, or policy-effect claim is allowed."
GBD 2023,8352,Cardiovascular diseases,Global,Both,All ages,Age-standardized,13137958.83,12200604.88,14040764.43,19139018.09,17355526.66,20403359.76,45.68,320141562.84,291872743.51,344484846.93,436235457.79,401278571.34,464841017.42,36.26,375.51,346.66,401.06,214.94,194.23,229.57,-42.76,8061.62,7403.37,8632.63,4863.82,4460.87,5192.31,-39.67,"Disease-specific descriptive GBD burden analysis only. Counts and age-standardized rates must remain separate, uncertainty intervals must be retained, and no causal, clinical, mechanistic, or policy-effect claim is allowed."
